epoch,forecast_10m_loss,forecast_10m_mae,forecast_10m_mse,forecast_1h_loss,forecast_1h_mae,forecast_1h_mse,forecast_30m_loss,forecast_30m_mae,forecast_30m_mse,loss,lr,val_forecast_10m_loss,val_forecast_10m_mae,val_forecast_10m_mse,val_forecast_1h_loss,val_forecast_1h_mae,val_forecast_1h_mse,val_forecast_30m_loss,val_forecast_30m_mae,val_forecast_30m_mse,val_loss
0,0.34953832626342773,0.11202076822519302,0.028096674010157585,0.3706638216972351,0.13531595468521118,0.04862121865153313,0.36426645517349243,0.1230129525065422,0.03438020870089531,1.0844687223434448,0.001,0.28068581223487854,0.058990441262722015,0.006461475510150194,0.2871988117694855,0.06321900337934494,0.007920479401946068,0.2924458980560303,0.06128581240773201,0.007059179246425629,0.8603305220603943
1,0.2887021005153656,0.057547543197870255,0.006353991571813822,0.29344475269317627,0.06399402767419815,0.00829236675053835,0.2964365780353546,0.0645548477768898,0.00822774600237608,0.8785833120346069,0.001,0.2816428244113922,0.046297140419483185,0.004492845851927996,0.2732240557670593,0.05027839541435242,0.005872250534594059,0.27897191047668457,0.048477452248334885,0.005079104099422693,0.8338387608528137
2,0.283207505941391,0.05060376226902008,0.005093297455459833,0.28689950704574585,0.05733561888337135,0.006856101565063,0.2878212034702301,0.05639713257551193,0.0064531415700912476,0.8579281568527222,0.001,0.27961018681526184,0.04907259717583656,0.0049466523341834545,0.27871713042259216,0.056363798677921295,0.006898258347064257,0.27629992365837097,0.05465802177786827,0.005919629242271185,0.8346271514892578
3,0.28026410937309265,0.04843410849571228,0.004728002939373255,0.2817993462085724,0.05510513857007027,0.006248333025723696,0.28435218334198,0.053446900099515915,0.0057771517895162106,0.8464152812957764,0.001,0.2761003077030182,0.04734110087156296,0.004504353739321232,0.2925374209880829,0.0548984669148922,0.006319218315184116,0.27862948179244995,0.04897098243236542,0.005144309252500534,0.8472672700881958
4,0.27705466747283936,0.046035926789045334,0.004311650991439819,0.2771300673484802,0.05250099301338196,0.005768550559878349,0.2806883156299591,0.050687626004219055,0.0052338396199047565,0.8348732590675354,0.001,0.27774542570114136,0.05369216576218605,0.005531213711947203,0.27755963802337646,0.05602124705910683,0.0064700511284172535,0.280597060918808,0.05310623720288277,0.005655903834849596,0.8359020948410034
5,0.2749164402484894,0.043994419276714325,0.0039842878468334675,0.27614811062812805,0.05029783397912979,0.0053479028865695,0.27871206402778625,0.048067569732666016,0.004765381570905447,0.8297767043113708,0.001,0.2930505573749542,0.07444656640291214,0.009127646684646606,0.28905943036079407,0.07719296216964722,0.01027362048625946,0.2869720458984375,0.07343567907810211,0.009097998030483723,0.8690818548202515
6,0.2714087963104248,0.0424656867980957,0.0037678643129765987,0.271510511636734,0.04878793656826019,0.005097695626318455,0.27404844760894775,0.04651340842247009,0.004510337952524424,0.8169678449630737,0.0005,0.2795189321041107,0.05243479833006859,0.0052537452429533005,0.2734338939189911,0.050812434405088425,0.005536291748285294,0.2724875807762146,0.04691629856824875,0.00469150859862566,0.8254404067993164
7,0.2705237567424774,0.0412372425198555,0.003580630524083972,0.2704484760761261,0.047000039368867874,0.004809434991329908,0.27384108304977417,0.04505529999732971,0.004290868993848562,0.8148134350776672,0.0005,0.27540117502212524,0.053412798792123795,0.005417248234152794,0.2722450792789459,0.05483229458332062,0.006192349828779697,0.27046164870262146,0.048815034329891205,0.0049704196862876415,0.8181079030036926
8,0.2710675597190857,0.041094183921813965,0.0035476519260555506,0.2697761356830597,0.04688665270805359,0.004746138583868742,0.27318358421325684,0.04479566961526871,0.004217987880110741,0.8140270113945007,0.0005,0.28361955285072327,0.057209014892578125,0.005965462885797024,0.2782507538795471,0.054587818682193756,0.0061629521660506725,0.28491827845573425,0.049651551991701126,0.005088346544653177,0.8467886447906494
9,0.26926013827323914,0.04059930145740509,0.003498596139252186,0.26997876167297363,0.04629781097173691,0.00472848629578948,0.27227330207824707,0.04434732347726822,0.004178335424512625,0.8115124106407166,0.0005,0.28104761242866516,0.059056662023067474,0.006409261841326952,0.28782135248184204,0.05824018642306328,0.006788698956370354,0.2778768837451935,0.05288275331258774,0.005505042616277933,0.8467459678649902
10,0.26909640431404114,0.039954137057065964,0.0033883987925946712,0.26851001381874084,0.04571608453989029,0.004601681139320135,0.27184173464775085,0.043600745499134064,0.00403692526742816,0.8094483613967896,0.0005,0.2739650011062622,0.0440225787460804,0.004145744722336531,0.2766672670841217,0.04907800629734993,0.005349453072994947,0.26706433296203613,0.042743027210235596,0.004185168072581291,0.8176965117454529
11,0.26847556233406067,0.039811402559280396,0.003369170008227229,0.2683875262737274,0.045313555747270584,0.0045190174132585526,0.2720164358615875,0.043344587087631226,0.0039813341572880745,0.8088791370391846,0.0005,0.27216532826423645,0.04090867564082146,0.003759921295568347,0.2664695680141449,0.04413595050573349,0.004810376558452845,0.2670077979564667,0.04169027507305145,0.004105548374354839,0.8056427240371704
12,0.26861411333084106,0.039259571582078934,0.003298529190942645,0.2679016888141632,0.044862400740385056,0.004466759040951729,0.2708130180835724,0.0426625981926918,0.0038980054669082165,0.807328999042511,0.0005,0.2697853147983551,0.04397428408265114,0.004155419301241636,0.2702614963054657,0.04840824007987976,0.005382628180086613,0.2692614197731018,0.04443523660302162,0.004410039633512497,0.8093082904815674
13,0.268002450466156,0.03938272222876549,0.0033125565387308598,0.26758503913879395,0.04495518282055855,0.004464798606932163,0.27085253596305847,0.04276210442185402,0.003889789106324315,0.806439995765686,0.0005,0.2765570282936096,0.050504688173532486,0.005053324159234762,0.2725793719291687,0.05188027024269104,0.005841769743710756,0.2710544168949127,0.04706425219774246,0.004759735427796841,0.8201906681060791
14,0.2672220766544342,0.038859691470861435,0.003219506936147809,0.2671239376068115,0.044205192476511,0.004369922913610935,0.27027997374534607,0.04194709286093712,0.003762810491025448,0.8046262860298157,0.0005,0.27402955293655396,0.04945995286107063,0.004903866909444332,0.2752424478530884,0.05255153775215149,0.005897050723433495,0.26992762088775635,0.048123881220817566,0.004838536027818918,0.819199800491333
15,0.26755020022392273,0.038882218301296234,0.003225082764402032,0.2667580246925354,0.04433930292725563,0.004375936463475227,0.2706827223300934,0.042143721133470535,0.0037887694779783487,0.8049911260604858,0.0005,0.2708323895931244,0.043792475014925,0.004178950097411871,0.26958903670310974,0.04641497880220413,0.00512551236897707,0.26514244079589844,0.04278739541769028,0.004300238564610481,0.8055639863014221
16,0.26455017924308777,0.037393681704998016,0.003035718109458685,0.2639060616493225,0.04298097640275955,0.004177276510745287,0.26698386669158936,0.04049409180879593,0.0035566838923841715,0.7954400181770325,0.00025,0.2706921100616455,0.045343197882175446,0.004375554155558348,0.2731199562549591,0.04810141399502754,0.00534879881888628,0.27068594098091125,0.044267140328884125,0.0044066994450986385,0.8144980072975159
