epoch,forecast_10m_loss,forecast_10m_mae,forecast_10m_mse,forecast_1h_loss,forecast_1h_mae,forecast_1h_mse,forecast_30m_loss,forecast_30m_mae,forecast_30m_mse,loss,lr,val_forecast_10m_loss,val_forecast_10m_mae,val_forecast_10m_mse,val_forecast_1h_loss,val_forecast_1h_mae,val_forecast_1h_mse,val_forecast_30m_loss,val_forecast_30m_mae,val_forecast_30m_mse,val_loss
0,0.5311294794082642,0.04620199650526047,0.0045469580218195915,0.5593196749687195,0.048442594707012177,0.004897387698292732,0.5485028028488159,0.04692019522190094,0.004564583767205477,1.638952374458313,0.001,0.7226510047912598,0.050382811576128006,0.004754956811666489,0.7087249159812927,0.056640997529029846,0.006184552796185017,0.7180730700492859,0.05702665075659752,0.005671663209795952,2.149448871612549
1,0.5311245918273926,0.04725922271609306,0.004715931601822376,0.5567265748977661,0.04922882467508316,0.005037564318627119,0.5485357046127319,0.047469478100538254,0.004626796115189791,1.6363868713378906,0.001,0.740923285484314,0.0663878470659256,0.006924842018634081,0.8034669756889343,0.07094822078943253,0.008361482992768288,0.8123378157615662,0.059401724487543106,0.0061075156554579735,2.3567283153533936
2,0.5264919400215149,0.04574141278862953,0.004574575927108526,0.5552399754524231,0.04738693684339523,0.0048041571862995625,0.5449219942092896,0.04606783017516136,0.004513660911470652,1.6266539096832275,0.001,0.7435920834541321,0.055654946714639664,0.005496570840477943,0.7255189418792725,0.06826534122228622,0.007986319251358509,0.7321661114692688,0.06014169380068779,0.0063071297481656075,2.201277256011963
3,0.5239061713218689,0.04501889646053314,0.0044516753405332565,0.5479813814163208,0.04674346745014191,0.004741200711578131,0.542218804359436,0.045441657304763794,0.004423242527991533,1.6141053438186646,0.001,0.7416390180587769,0.06366942077875137,0.006647239904850721,0.7344353795051575,0.06409355998039246,0.006877330597490072,0.743846595287323,0.06333950906991959,0.006694472394883633,2.219921588897705
4,0.5255954265594482,0.04512644186615944,0.004439862910658121,0.5491159558296204,0.047050878405570984,0.0047668954357504845,0.5427883863449097,0.04568401351571083,0.004427370149642229,1.6175005435943604,0.001,0.7368824481964111,0.04978200048208237,0.0046974411234259605,0.7161715030670166,0.051290079951286316,0.005244715139269829,0.7362022399902344,0.05055082216858864,0.004733157344162464,2.189256429672241
5,0.51248699426651,0.04451991617679596,0.00442520622164011,0.5401170253753662,0.046046506613492966,0.004621051251888275,0.5294619798660278,0.04458120837807655,0.004284888040274382,1.5820653438568115,0.0005,0.812118649482727,0.06362586468458176,0.006831600796431303,0.7764071822166443,0.06528255343437195,0.007395641412585974,0.8130569458007812,0.05474478751420975,0.005468707997351885,2.401582956314087
6,0.5099351406097412,0.0432140938937664,0.004233133979141712,0.538314700126648,0.044750992208719254,0.0044537195935845375,0.5274872779846191,0.04360414668917656,0.004196987021714449,1.5757367610931396,0.0005,0.715663492679596,0.05296218767762184,0.004855708684772253,0.7332949638366699,0.061007384210824966,0.006468670442700386,0.7222578525543213,0.05565754324197769,0.0052662258967757225,2.1712160110473633
7,0.5116323828697205,0.04372439906001091,0.004247221164405346,0.5385736227035522,0.04570610076189041,0.004570604767650366,0.5300060510635376,0.0441473163664341,0.004262383561581373,1.5802110433578491,0.0005,0.7631421685218811,0.06886462867259979,0.007926839403808117,0.7461216449737549,0.0786016434431076,0.009840499609708786,0.7684153914451599,0.078029103577137,0.009431111626327038,2.277679443359375
8,0.5079189538955688,0.044000230729579926,0.004283853340893984,0.5372651815414429,0.04563821852207184,0.004543769638985395,0.5278783440589905,0.04450736567378044,0.004305947571992874,1.5730624198913574,0.0005,0.8181429505348206,0.07498160749673843,0.00973870512098074,0.827966570854187,0.08319967240095139,0.01108489092439413,0.8478067517280579,0.0799684002995491,0.010379848070442677,2.4939169883728027
9,0.5036514401435852,0.042881350964307785,0.004158362280577421,0.5330156683921814,0.04442515969276428,0.004399935249239206,0.5228734016418457,0.042972538620233536,0.004102788399904966,1.5595403909683228,0.00025,0.740941047668457,0.06740591675043106,0.007147588767111301,0.7537136077880859,0.07362445443868637,0.008670300245285034,0.7669083476066589,0.06455563753843307,0.006743649486452341,2.2615628242492676
10,0.5003079175949097,0.04210368171334267,0.0040760040283203125,0.5302836298942566,0.043803662061691284,0.004342713858932257,0.5214220881462097,0.04233268275856972,0.004035985562950373,1.5520142316818237,0.00025,0.7649786472320557,0.06402619928121567,0.006806063000112772,0.7693023681640625,0.0669793039560318,0.0077171316370368,0.7755756974220276,0.06273922324180603,0.006540096830576658,2.309857130050659
