epoch,forecast_10m_loss,forecast_10m_mae,forecast_10m_mse,forecast_1h_loss,forecast_1h_mae,forecast_1h_mse,forecast_30m_loss,forecast_30m_mae,forecast_30m_mse,loss,lr,val_forecast_10m_loss,val_forecast_10m_mae,val_forecast_10m_mse,val_forecast_1h_loss,val_forecast_1h_mae,val_forecast_1h_mse,val_forecast_30m_loss,val_forecast_30m_mae,val_forecast_30m_mse,val_loss
0,0.2883481979370117,0.044152889400720596,0.004059385042637587,0.3029610514640808,0.04716312885284424,0.004683669190853834,0.297476589679718,0.046084724366664886,0.0043652234598994255,0.8887857794761658,0.001,0.3608328700065613,0.05289248377084732,0.004858909174799919,0.3657180964946747,0.04850392043590546,0.004581557586789131,0.368700236082077,0.04678797349333763,0.003940736409276724,1.095251202583313
1,0.28598982095718384,0.044512443244457245,0.004066182300448418,0.30308961868286133,0.04739329591393471,0.0046577309258282185,0.29799771308898926,0.0458274744451046,0.004277609754353762,0.8870770335197449,0.001,0.36877620220184326,0.059749018400907516,0.006019288673996925,0.390717089176178,0.06606248021125793,0.007367684040218592,0.3853963017463684,0.06392765045166016,0.006628829520195723,1.1448894739151
2,0.28394562005996704,0.043124761432409286,0.003906796220690012,0.2984246611595154,0.046285904943943024,0.004540787078440189,0.29482412338256836,0.04485727474093437,0.004189557861536741,0.8771942853927612,0.001,0.3816441595554352,0.08253124356269836,0.010308098047971725,0.39124464988708496,0.07773507386445999,0.009414728730916977,0.386303186416626,0.0784781351685524,0.009282160550355911,1.1591920852661133
3,0.28452154994010925,0.042549941688776016,0.0038393300492316484,0.2984677851200104,0.04543384909629822,0.0044317846186459064,0.2951814830303192,0.04399432614445686,0.004077944438904524,0.8781708478927612,0.001,0.39343827962875366,0.07240920513868332,0.00849412102252245,0.3912612199783325,0.07922352105379105,0.009602570906281471,0.3930599093437195,0.07561976462602615,0.008831329643726349,1.177759051322937
4,0.28245922923088074,0.04284735396504402,0.003838934237137437,0.2967715561389923,0.04566429182887077,0.004405392333865166,0.2924880087375641,0.04442766681313515,0.004082104656845331,0.8717186450958252,0.001,0.38142168521881104,0.07511822134256363,0.008797545917332172,0.4005076289176941,0.06934954226016998,0.008026132360100746,0.39955079555511475,0.06521947681903839,0.007163129281252623,1.1814799308776855
5,0.2762487232685089,0.039799537509679794,0.0035328117664903402,0.29188090562820435,0.04248059540987015,0.004037655424326658,0.2870485782623291,0.0409858338534832,0.0036773490719497204,0.8551779985427856,0.0005,0.36884838342666626,0.05697097256779671,0.005631950683891773,0.38620954751968384,0.060861628502607346,0.006637772545218468,0.38500168919563293,0.0551363043487072,0.005543661769479513,1.140059232711792
6,0.2743076980113983,0.03976225107908249,0.0034990347921848297,0.2908458113670349,0.042401231825351715,0.0040367282927036285,0.28634241223335266,0.041196100413799286,0.0037005546037107706,0.8514956831932068,0.0005,0.36839818954467773,0.05230114236474037,0.004901294130831957,0.3813089430332184,0.052421942353248596,0.005216020159423351,0.37519097328186035,0.0453522652387619,0.003965164069086313,1.124897837638855
7,0.2737841308116913,0.03946904465556145,0.003456077305600047,0.2909359633922577,0.0421614833176136,0.0039914133958518505,0.285720556974411,0.040557727217674255,0.00359854637645185,0.850440502166748,0.0005,0.371510773897171,0.07052595913410187,0.008042687550187111,0.38001230359077454,0.06985513120889664,0.007907742634415627,0.3737538754940033,0.06119053438305855,0.00630159629508853,1.125276803970337
8,0.27398985624313354,0.039474084973335266,0.0034610952716320753,0.29135993123054504,0.04209050163626671,0.003950535319745541,0.2860892415046692,0.040826138108968735,0.0036260311026126146,0.8514388203620911,0.0005,0.368660032749176,0.05348306521773338,0.004925158340483904,0.3784063160419464,0.049088913947343826,0.004759645089507103,0.3771044611930847,0.04701448976993561,0.0040556215681135654,1.1241708993911743
9,0.27074167132377625,0.038443900644779205,0.0033533640671521425,0.2878544330596924,0.04117878898978233,0.0038559651002287865,0.28292909264564514,0.03978390619158745,0.0035034429747611284,0.841525137424469,0.00025,0.37267765402793884,0.06191893294453621,0.006395155563950539,0.38081562519073486,0.060272954404354095,0.006433619651943445,0.38032737374305725,0.054683130234479904,0.005402741488069296,1.133820652961731
10,0.27061599493026733,0.038394782692193985,0.0033431577030569315,0.2875659167766571,0.04084217920899391,0.003797302022576332,0.2823126018047333,0.03944762423634529,0.0034332952927798033,0.8404945135116577,0.00025,0.3831915259361267,0.06592776626348495,0.0071189976297318935,0.3971921503543854,0.06392461061477661,0.006996089592576027,0.3834519684314728,0.054508619010448456,0.00525667192414403,1.1638356447219849
